id_participante,faixa_etaria,faixa_etaria_descricao,sexo,sexo_descricao,cor_raca,cor_raca_descricao,estado_civil,estado_civil_descricao,nacionalidade,nacionalidade_descricao,st_conclusao,st_conclusao_descricao
3463,5,20,M,Masculino,3,Parda,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3464,14,Entre 41 e 45,F,Feminino,1,Branca,0,Nao informado,1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3465,6,21,M,Masculino,5,Indigena,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3466,12,Entre 31 e 35,F,Feminino,4,Amarela,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3467,18,Entre 61 e 65,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
3468,8,23,F,Feminino,5,Indigena,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3469,3,18,F,Feminino,1,Branca,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3470,5,20,M,Masculino,4,Amarela,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3471,18,Entre 61 e 65,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3472,10,25,M,Masculino,1,Branca,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3473,12,Entre 31 e 35,F,Feminino,2,Preta,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3474,2,17,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3475,11,Entre 26 e 30,M,Masculino,5,Indigena,0,Nao informado,2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3476,5,20,F,Feminino,3,Parda,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3477,5,20,M,Masculino,4,Amarela,1,Solteiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3478,8,23,F,Feminino,4,Amarela,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3479,6,21,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3480,4,19,F,Feminino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3481,11,Entre 26 e 30,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3482,13,Entre 36 e 40,F,Feminino,1,Branca,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
3483,16,Entre 51 e 55,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3484,3,18,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3485,3,18,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3486,12,Entre 31 e 35,M,Masculino,5,Indigena,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3487,5,20,F,Feminino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3488,3,18,M,Masculino,2,Preta,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3489,2,17,M,Masculino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3490,10,25,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
