id_participante,faixa_etaria,faixa_etaria_descricao,sexo,sexo_descricao,cor_raca,cor_raca_descricao,estado_civil,estado_civil_descricao,nacionalidade,nacionalidade_descricao,st_conclusao,st_conclusao_descricao
0,3,18,M,Masculino,2,Preta,0,Nao informado,1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
1,3,18,M,Masculino,3,Parda,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",4,Nao conclui e nao estou cursando o Ensino Medio
2,11,Entre 26 e 30,M,Masculino,0,Nao declarado,1,Solteiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3,2,17,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
4,10,25,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
5,17,Entre 56 e 60,F,Feminino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
6,10,25,F,Feminino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
7,8,23,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
8,19,Entre 66 e 70,M,Masculino,3,Parda,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
9,13,Entre 36 e 40,M,Masculino,4,Amarela,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
10,12,Entre 31 e 35,F,Feminino,4,Amarela,2,Casado(a)/Mora com companheiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
11,4,19,F,Feminino,3,Parda,1,Solteiro(a),3,Estrangeiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
12,8,23,F,Feminino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),4,Nao conclui e nao estou cursando o Ensino Medio
13,5,20,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
14,14,Entre 41 e 45,F,Feminino,2,Preta,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
15,2,17,F,Feminino,2,Preta,1,Solteiro(a),0,Nao informado,2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
16,1,Menor de 17,M,Masculino,2,Preta,1,Solteiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
17,4,19,M,Masculino,2,Preta,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",4,Nao conclui e nao estou cursando o Ensino Medio
18,7,22,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
19,3,18,M,Masculino,0,Nao declarado,1,Solteiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
20,2,17,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
21,17,Entre 56 e 60,M,Masculino,0,Nao declarado,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
22,13,Entre 36 e 40,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
23,11,Entre 26 e 30,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
24,3,18,M,Masculino,5,Indigena,4,Viuvo(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
25,15,Entre 46 e 50,M,Masculino,1,Branca,0,Nao informado,1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
26,16,Entre 51 e 55,F,Feminino,3,Parda,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
27,2,17,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
28,16,Entre 51 e 55,F,Feminino,3,Parda,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
29,19,Entre 66 e 70,F,Feminino,1,Branca,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
30,3,18,F,Feminino,3,Parda,0,Nao informado,0,Nao informado,3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
31,2,17,M,Masculino,0,Nao declarado,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
32,11,Entre 26 e 30,F,Feminino,4,Amarela,0,Nao informado,1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
33,18,Entre 61 e 65,F,Feminino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
34,12,Entre 31 e 35,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
35,19,Entre 66 e 70,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
36,12,Entre 31 e 35,F,Feminino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
37,3,18,F,Feminino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
38,19,Entre 66 e 70,F,Feminino,1,Branca,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
39,1,Menor de 17,F,Feminino,1,Branca,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
40,16,Entre 51 e 55,M,Masculino,5,Indigena,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
41,16,Entre 51 e 55,M,Masculino,2,Preta,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
42,14,Entre 41 e 45,M,Masculino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
43,15,Entre 46 e 50,F,Feminino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
44,12,Entre 31 e 35,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
45,10,25,F,Feminino,0,Nao declarado,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
46,6,21,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
47,12,Entre 31 e 35,F,Feminino,3,Parda,1,Solteiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
48,3,18,F,Feminino,1,Branca,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
49,7,22,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
50,4,19,M,Masculino,3,Parda,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
51,4,19,M,Masculino,3,Parda,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
52,3,18,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
53,3,18,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
54,3,18,F,Feminino,2,Preta,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
55,6,21,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),0,Nao informado,1,Ja conclui o Ensino Medio
56,12,Entre 31 e 35,F,Feminino,4,Amarela,0,Nao informado,2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
57,14,Entre 41 e 45,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
58,16,Entre 51 e 55,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
59,12,Entre 31 e 35,M,Masculino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
60,10,25,M,Masculino,1,Branca,0,Nao informado,2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
61,4,19,M,Masculino,1,Branca,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
62,11,Entre 26 e 30,F,Feminino,3,Parda,0,Nao informado,0,Nao informado,1,Ja conclui o Ensino Medio
63,20,Maior de 70,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
64,15,Entre 46 e 50,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
65,16,Entre 51 e 55,M,Masculino,4,Amarela,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
66,8,23,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
67,1,Menor de 17,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
68,14,Entre 41 e 45,F,Feminino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
69,15,Entre 46 e 50,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
70,10,25,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
71,12,Entre 31 e 35,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
72,14,Entre 41 e 45,M,Masculino,2,Preta,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
73,5,20,F,Feminino,0,Nao declarado,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
74,12,Entre 31 e 35,M,Masculino,5,Indigena,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
75,8,23,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
76,16,Entre 51 e 55,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
77,17,Entre 56 e 60,M,Masculino,0,Nao declarado,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
78,19,Entre 66 e 70,M,Masculino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
79,10,25,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
80,15,Entre 46 e 50,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
81,4,19,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),0,Nao informado,1,Ja conclui o Ensino Medio
82,4,19,F,Feminino,1,Branca,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
83,14,Entre 41 e 45,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
84,12,Entre 31 e 35,M,Masculino,2,Preta,1,Solteiro(a),0,Nao informado,1,Ja conclui o Ensino Medio
85,3,18,M,Masculino,0,Nao declarado,1,Solteiro(a),0,Nao informado,3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
86,7,22,M,Masculino,1,Branca,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
87,5,20,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
88,18,Entre 61 e 65,F,Feminino,5,Indigena,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
89,16,Entre 51 e 55,F,Feminino,2,Preta,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
90,6,21,F,Feminino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),4,Nao conclui e nao estou cursando o Ensino Medio
91,15,Entre 46 e 50,F,Feminino,5,Indigena,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
92,10,25,F,Feminino,4,Amarela,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
93,4,19,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
94,20,Maior de 70,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
95,2,17,F,Feminino,5,Indigena,0,Nao informado,2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
96,7,22,M,Masculino,4,Amarela,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
97,12,Entre 31 e 35,M,Masculino,1,Branca,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
98,2,17,F,Feminino,0,Nao declarado,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
99,3,18,F,Feminino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
100,8,23,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
101,14,Entre 41 e 45,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
102,13,Entre 36 e 40,F,Feminino,1,Branca,1,Solteiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
103,10,25,F,Feminino,4,Amarela,0,Nao informado,4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
104,13,Entre 36 e 40,F,Feminino,1,Branca,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
105,14,Entre 41 e 45,F,Feminino,0,Nao declarado,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
106,15,Entre 46 e 50,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
107,20,Maior de 70,F,Feminino,2,Preta,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
108,7,22,F,Feminino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
109,1,Menor de 17,F,Feminino,0,Nao declarado,1,Solteiro(a),0,Nao informado,3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
110,19,Entre 66 e 70,F,Feminino,3,Parda,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
111,3,18,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
112,2,17,M,Masculino,2,Preta,4,Viuvo(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
113,17,Entre 56 e 60,F,Feminino,4,Amarela,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
114,12,Entre 31 e 35,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
115,11,Entre 26 e 30,F,Feminino,2,Preta,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
116,1,Menor de 17,M,Masculino,3,Parda,4,Viuvo(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
117,7,22,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
118,16,Entre 51 e 55,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
119,14,Entre 41 e 45,M,Masculino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
120,9,24,F,Feminino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
121,14,Entre 41 e 45,F,Feminino,4,Amarela,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
122,1,Menor de 17,F,Feminino,3,Parda,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
123,6,21,M,Masculino,5,Indigena,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
124,1,Menor de 17,F,Feminino,4,Amarela,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
125,5,20,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
126,12,Entre 31 e 35,F,Feminino,1,Branca,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
127,1,Menor de 17,F,Feminino,2,Preta,1,Solteiro(a),0,Nao informado,3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
128,6,21,F,Feminino,5,Indigena,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
129,6,21,F,Feminino,2,Preta,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
130,9,24,M,Masculino,4,Amarela,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
131,12,Entre 31 e 35,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
132,5,20,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
133,16,Entre 51 e 55,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
134,9,24,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
135,7,22,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
136,12,Entre 31 e 35,F,Feminino,1,Branca,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
137,3,18,F,Feminino,3,Parda,4,Viuvo(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
138,7,22,M,Masculino,0,Nao declarado,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
139,10,25,F,Feminino,2,Preta,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
140,13,Entre 36 e 40,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
141,3,18,M,Masculino,5,Indigena,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
142,5,20,F,Feminino,0,Nao declarado,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
143,5,20,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
144,6,21,M,Masculino,0,Nao declarado,2,Casado(a)/Mora com companheiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
145,6,21,M,Masculino,3,Parda,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
146,9,24,F,Feminino,2,Preta,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
147,20,Maior de 70,F,Feminino,2,Preta,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
148,5,20,F,Feminino,0,Nao declarado,0,Nao informado,0,Nao informado,2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
149,8,23,F,Feminino,3,Parda,0,Nao informado,4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
150,12,Entre 31 e 35,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
151,12,Entre 31 e 35,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
152,11,Entre 26 e 30,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
153,4,19,M,Masculino,5,Indigena,4,Viuvo(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
154,10,25,M,Masculino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
155,8,23,M,Masculino,3,Parda,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
156,11,Entre 26 e 30,M,Masculino,1,Branca,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
157,8,23,F,Feminino,0,Nao declarado,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
158,14,Entre 41 e 45,F,Feminino,2,Preta,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
159,5,20,M,Masculino,1,Branca,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",4,Nao conclui e nao estou cursando o Ensino Medio
160,9,24,F,Feminino,3,Parda,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",4,Nao conclui e nao estou cursando o Ensino Medio
161,3,18,M,Masculino,5,Indigena,0,Nao informado,4,"Brasileiro(a) Nato(a), nascido(a) no exterior",2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
162,3,18,F,Feminino,1,Branca,0,Nao informado,0,Nao informado,1,Ja conclui o Ensino Medio
163,2,17,F,Feminino,4,Amarela,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
164,7,22,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
165,1,Menor de 17,F,Feminino,5,Indigena,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
166,3,18,M,Masculino,1,Branca,0,Nao informado,2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
167,9,24,F,Feminino,2,Preta,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
168,7,22,M,Masculino,4,Amarela,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
169,6,21,M,Masculino,5,Indigena,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
170,7,22,F,Feminino,3,Parda,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
171,10,25,F,Feminino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),4,Nao conclui e nao estou cursando o Ensino Medio
172,13,Entre 36 e 40,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
173,13,Entre 36 e 40,F,Feminino,5,Indigena,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
174,6,21,M,Masculino,0,Nao declarado,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
175,17,Entre 56 e 60,F,Feminino,0,Nao declarado,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
176,12,Entre 31 e 35,M,Masculino,4,Amarela,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
177,14,Entre 41 e 45,F,Feminino,5,Indigena,0,Nao informado,1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
178,2,17,M,Masculino,0,Nao declarado,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
179,2,17,M,Masculino,2,Preta,0,Nao informado,3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
180,10,25,F,Feminino,3,Parda,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
181,11,Entre 26 e 30,F,Feminino,3,Parda,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
182,16,Entre 51 e 55,F,Feminino,3,Parda,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
183,6,21,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
