id_socioeconomico,escolaridade_pai,escolaridade_pai_descricao,escolaridade_mae,escolaridade_mae_descricao,quantidade_pessoas_moradia,quantidade_pessoas_moradia_descricao,renda_familiar,renda_familiar_descricao
6522,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",7,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6523,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",9,,E,"De R$ 2.424,01 ate R$ 3.030,00"
6524,B,Nao completou a 4 serie/5 ano,H,Nao sei,9,,A,Nenhuma Renda
6525,E,"Completou o Ensino Medio, mas nao completou a Faculdade",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",5,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6526,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",12,,Q,"Acima de R$ 24.240,00"
6527,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",12,,B,"Ate R$ 1.212,00"
6528,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,B,"Ate R$ 1.212,00"
6529,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",5,,I,"De R$ 6.060,01 ate R$ 7.272,00"
6530,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,B,"Ate R$ 1.212,00"
6531,A,Nunca estudou,A,Nunca estudou,14,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6532,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",12,,B,"Ate R$ 1.212,00"
6533,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,6,,A,Nenhuma Renda
6534,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,1,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6535,A,Nunca estudou,G,Completou a Pos-graduacao,9,,A,Nenhuma Renda
