id_socioeconomico,escolaridade_pai,escolaridade_pai_descricao,escolaridade_mae,escolaridade_mae_descricao,quantidade_pessoas_moradia,quantidade_pessoas_moradia_descricao,renda_familiar,renda_familiar_descricao
6383,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,L,"De R$ 9.696,01 ate R$ 10.908,00"
6384,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,K,"De R$ 8.484,01 ate R$ 9.696,00"
6385,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,2,,M,"De R$ 10.908,01 ate R$ 12.120,00"
6386,H,Nao sei,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",5,,N,"De R$ 12.120,01 ate R$ 14.544,00"
6387,G,Completou a Pos-graduacao,A,Nunca estudou,3,,H,"De R$ 4.848,01 ate R$ 6.060,00"
6388,E,"Completou o Ensino Medio, mas nao completou a Faculdade",B,Nao completou a 4 serie/5 ano,3,,L,"De R$ 9.696,01 ate R$ 10.908,00"
6389,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",11,,D,"De R$ 1.818,01 ate R$ 2.424,00"
6390,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",A,Nunca estudou,5,,B,"Ate R$ 1.212,00"
6391,H,Nao sei,B,Nao completou a 4 serie/5 ano,10,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6392,G,Completou a Pos-graduacao,H,Nao sei,1,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6393,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,8,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6394,A,Nunca estudou,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",13,,A,Nenhuma Renda
6395,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,B,"Ate R$ 1.212,00"
6396,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",6,,L,"De R$ 9.696,01 ate R$ 10.908,00"
6397,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",4,,M,"De R$ 10.908,01 ate R$ 12.120,00"
6398,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",18,,B,"Ate R$ 1.212,00"
6399,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,I,"De R$ 6.060,01 ate R$ 7.272,00"
6400,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",G,Completou a Pos-graduacao,5,,J,"De R$ 7.272,01 ate R$ 8.484,00"
6401,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",15,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6402,A,Nunca estudou,E,"Completou o Ensino Medio, mas nao completou a Faculdade",13,,A,Nenhuma Renda
6403,G,Completou a Pos-graduacao,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",12,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6404,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,6,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6405,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6406,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,20,,N,"De R$ 12.120,01 ate R$ 14.544,00"
6407,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,J,"De R$ 7.272,01 ate R$ 8.484,00"
6408,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",H,Nao sei,5,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6409,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",8,,J,"De R$ 7.272,01 ate R$ 8.484,00"
6410,G,Completou a Pos-graduacao,A,Nunca estudou,2,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6411,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",9,,I,"De R$ 6.060,01 ate R$ 7.272,00"
6412,A,Nunca estudou,A,Nunca estudou,2,,B,"Ate R$ 1.212,00"
6413,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,10,,A,Nenhuma Renda
6414,B,Nao completou a 4 serie/5 ano,H,Nao sei,8,,G,"De R$ 3.636,01 ate R$ 4.848,00"
